Region:, Group 1: medtr,Other, Total
0:0,0,365,365
0:1,0,335,335
1:0,429,0,429
1:1,159,0,159
1:2,18,0,18
1:3,8,0,8
2:0,388,0,388
2:1,91,0,91
3:0,225,0,225
3:1,215,0,215
3:2,1,0,1
3:3,1,0,1
4:0,236,0,236
4:1,187,0,187
5:0,0,234,234
5:1,0,169,169
6:0,0,199,199
6:1,0,184,184
6:2,0,1,1
7:0,192,0,192
7:1,187,0,187
8:0,0,196,196
8:1,0,180,180
8:2,0,1,1
9:0,186,0,186
9:1,176,0,176
9:2,1,0,1
9:3,1,0,1
10:0,199,0,199
10:1,164,0,164
11:0,177,0,177
11:1,162,0,162
12:0,1,167,168
12:1,0,165,165
12:2,0,4,4
12:3,0,2,2
12:4,0,1,1
12:5,0,1,1
13:0,175,0,175
13:1,158,0,158
13:2,1,0,1
14:0,0,168,168
14:1,0,163,163
15:0,0,166,166
15:1,0,159,159
15:2,0,2,2
16:0,165,0,165
16:1,152,0,152
16:2,4,0,4
17:0,0,158,158
17:1,0,154,154
17:2,0,2,2
17:3,0,1,1
18:0,160,0,160
18:1,154,0,154
19:0,151,0,151
19:1,146,0,146
19:2,9,0,9
19:3,1,0,1
20:0,155,0,155
20:1,151,0,151
21:0,120,0,120
21:1,93,0,93
21:2,51,0,51
21:3,41,0,41
22:0,154,0,154
22:1,147,0,147
23:0,156,0,156
23:1,140,0,140
23:2,1,0,1
24:0,112,0,112
24:1,86,0,86
24:2,52,0,52
24:3,42,0,42
25:0,0,147,147
25:1,0,145,145
26:0,289,0,289
26:1,1,0,1
27:0,146,0,146
27:1,127,0,127
27:2,2,0,2
27:3,1,0,1
27:4,1,0,1
27:5,1,0,1
28:0,139,0,139
28:1,137,0,137
29:0,0,139,139
29:1,0,137,137
30:0,143,0,143
30:1,130,0,130
31:0,143,0,143
31:1,126,0,126
31:2,2,0,2
31:3,1,0,1
32:0,0,138,138
32:1,0,121,121
32:2,0,2,2
33:0,151,0,151
33:1,109,0,109
34:0,129,0,129
34:1,123,0,123
34:2,5,0,5
34:3,2,0,2
35:0,133,0,133
35:1,126,0,126
36:0,135,0,135
36:1,119,0,119
37:0,0,122,122
37:1,0,117,117
37:2,0,9,9
37:3,0,5,5
38:0,0,140,140
38:1,0,112,112
39:0,0,136,136
39:1,0,112,112
40:0,0,138,138
40:1,0,105,105
41:0,0,135,135
41:1,0,108,108
42:0,124,0,124
42:1,116,0,116
42:2,1,0,1
43:0,120,0,120
43:1,117,0,117
44:0,119,0,119
44:1,113,0,113
44:2,1,0,1
44:3,1,0,1
45:0,123,0,123
45:1,107,0,107
45:2,1,0,1
45:3,1,0,1
46:0,126,0,126
46:1,105,0,105
47:0,118,0,118
47:1,111,0,111
48:0,173,0,173
48:1,55,0,55
48:2,1,0,1
49:0,0,116,116
49:1,0,112,112
49:2,0,1,1
50:0,0,133,133
50:1,0,94,94
51:0,136,0,136
51:1,90,0,90
52:0,0,127,127
52:1,0,99,99
53:0,0,84,84
53:1,0,61,61
53:2,0,46,46
53:3,0,34,34
54:0,0,122,122
54:1,0,103,103
55:0,0,119,119
55:1,0,105,105
56:0,81,0,81
56:1,73,0,73
56:2,41,0,41
56:3,28,0,28
57:0,112,0,112
57:1,109,0,109
57:2,1,0,1
58:0,0,78,78
58:1,0,78,78
58:2,0,43,43
58:3,0,23,23
59:0,0,119,119
59:1,0,103,103
60:0,112,0,112
60:1,109,0,109
61:0,0,111,111
61:1,0,110,110
62:0,0,123,123
62:1,0,94,94
62:2,0,2,2
62:3,0,2,2
63:0,117,0,117
63:1,103,0,103
64:0,0,125,125
64:1,0,79,79
64:2,0,10,10
64:3,0,5,5
65:0,0,117,117
65:1,0,102,102
66:0,0,126,126
66:1,0,93,93
67:0,0,132,132
67:1,0,83,83
67:2,0,2,2
67:3,0,1,1
68:0,109,0,109
68:1,108,0,108
69:0,0,109,109
69:1,0,108,108
70:0,0,111,111
70:1,0,106,106
71:0,117,0,117
71:1,99,0,99
72:0,109,0,109
72:1,103,0,103
72:2,3,0,3
72:3,1,0,1
73:0,0,123,123
73:1,0,93,93
74:0,0,133,133
74:1,0,83,83
75:0,0,216,216
76:0,0,108,108
76:1,0,100,100
76:2,0,7,7
77:0,0,108,108
77:1,0,106,106
78:0,0,99,99
78:1,0,99,99
78:2,0,11,11
78:3,0,5,5
79:0,108,0,108
79:1,105,0,105
80:0,0,102,102
80:1,0,88,88
80:2,0,9,9
80:3,0,6,6
80:4,0,3,3
80:5,0,1,1
80:6,0,1,1
80:7,0,1,1
80:8,0,1,1
80:9,0,1,1
81:0,81,0,81
81:1,77,0,77
81:2,30,0,30
81:3,20,0,20
81:4,1,0,1
81:5,1,0,1
81:6,1,0,1
81:7,1,0,1
82:0,0,106,106
82:1,0,94,94
82:2,0,6,6
82:3,0,6,6
83:0,0,113,113
83:1,0,97,97
83:2,0,2,2
84:0,109,0,109
84:1,99,0,99
84:2,1,0,1
84:3,1,0,1
84:4,1,0,1
85:0,110,0,110
85:1,91,0,91
85:2,8,0,8
85:3,2,0,2
86:0,0,111,111
86:1,0,96,96
86:2,0,2,2
86:3,0,2,2
87:0,0,111,111
87:1,0,100,100
88:0,110,0,110
88:1,99,0,99
88:2,1,0,1
89:0,0,93,93
89:1,0,85,85
89:2,0,9,9
89:3,0,8,8
89:4,0,7,7
89:5,0,7,7
89:6,0,1,1
90:0,0,109,109
90:1,0,99,99
90:2,0,1,1
91:0,0,209,209
92:0,104,0,104
92:1,104,0,104
93:0,0,112,112
93:1,0,96,96
94:0,0,127,127
94:1,0,81,81
95:0,0,118,118
95:1,0,90,90
96:0,0,114,114
96:1,0,93,93
97:0,0,87,87
97:1,0,67,67
97:2,0,27,27
97:3,0,17,17
97:4,0,3,3
97:5,0,3,3
97:6,0,2,2
97:7,0,1,1
98:0,0,113,113
98:1,0,91,91
98:2,0,2,2
98:3,0,1,1
99:0,0,114,114
99:1,0,93,93
100:0,108,0,108
100:1,96,0,96
100:2,1,0,1
100:3,1,0,1
101:0,103,0,103
101:1,103,0,103
102:0,0,105,105
102:1,0,100,100
102:2,0,1,1
103:0,0,111,111
103:1,0,95,95
104:0,0,106,106
104:1,0,99,99
105:0,0,112,112
105:1,0,89,89
105:2,0,3,3
105:3,0,1,1
106:0,112,0,112
106:1,93,0,93
107:0,122,0,122
107:1,82,0,82
108:0,0,107,107
108:1,0,97,97
109:0,0,104,104
109:1,0,92,92
109:2,0,4,4
109:3,0,4,4
110:0,0,110,110
110:1,0,94,94
111:0,0,97,97
111:1,0,96,96
111:2,0,6,6
111:3,0,5,5
112:0,103,0,103
112:1,99,0,99
112:2,1,0,1
113:0,0,115,115
113:1,0,77,77
113:2,0,3,3
113:3,0,3,3
113:4,0,2,2
113:5,0,2,2
113:6,0,1,1
114:0,0,103,103
114:1,0,90,90
114:2,0,5,5
114:3,0,4,4
114:4,0,1,1
115:0,0,104,104
115:1,0,99,99
116:0,0,108,108
116:1,0,95,95
117:0,0,112,112
117:1,0,91,91
118:0,107,0,107
118:1,95,0,95
119:0,0,115,115
119:1,0,87,87
120:0,0,105,105
120:1,0,97,97
121:0,0,108,108
121:1,0,81,81
121:2,0,3,3
121:3,0,2,2
121:4,0,2,2
121:5,0,1,1
121:6,0,1,1
121:7,0,1,1
121:8,0,1,1
121:9,0,1,1
121:10,0,1,1
122:0,0,112,112
122:1,0,90,90
123:0,0,114,114
123:1,0,88,88
124:0,104,0,104
124:1,97,0,97
125:0,199,0,199
125:1,2,0,2
126:0,0,109,109
126:1,0,92,92
127:0,0,95,95
127:1,0,91,91
127:2,0,8,8
127:3,0,7,7
128:0,112,0,112
128:1,88,0,88
129:0,0,102,102
129:1,0,98,98
130:0,0,107,107
130:1,0,93,93
131:0,0,120,120
131:1,0,80,80
132:0,0,107,107
132:1,0,93,93
133:0,0,102,102
133:1,0,98,98
134:0,0,101,101
134:1,0,97,97
134:2,0,2,2
135:0,0,111,111
135:1,0,89,89
136:0,103,0,103
136:1,96,0,96
137:0,0,94,94
137:1,0,91,91
137:2,0,9,9
137:3,0,4,4
137:4,0,1,1
138:0,0,106,106
138:1,0,93,93
139:0,0,102,102
139:1,0,97,97
140:0,0,104,104
140:1,0,92,92
140:2,0,1,1
140:3,0,1,1
140:4,0,1,1
141:0,0,92,92
141:1,0,92,92
141:2,0,8,8
141:3,0,7,7
142:0,0,113,113
142:1,0,86,86
143:0,199,0,199
144:0,110,0,110
144:1,88,0,88
145:0,0,100,100
145:1,0,77,77
145:2,0,12,12
145:3,0,9,9
146:0,0,104,104
146:1,0,94,94
147:0,0,95,95
147:1,0,79,79
147:2,0,12,12
147:3,0,12,12
148:0,0,100,100
148:1,0,98,98
149:0,98,0,98
149:1,98,0,98
149:2,1,0,1
150:0,0,97,97
150:1,0,70,70
150:2,0,9,9
150:3,0,8,8
150:4,0,3,3
150:5,0,2,2
150:6,0,1,1
150:7,0,1,1
150:8,0,1,1
150:9,0,1,1
150:10,0,1,1
150:11,0,1,1
150:12,0,1,1
150:13,0,1,1
151:0,0,115,115
151:1,0,82,82
152:0,101,0,101
152:1,95,0,95
153:0,0,91,91
153:1,0,88,88
153:2,0,10,10
153:3,0,7,7
154:0,0,91,91
154:1,0,91,91
154:2,0,8,8
154:3,0,5,5
154:4,0,1,1
155:0,0,105,105
155:1,0,88,88
155:2,0,2,2
155:3,0,1,1
156:0,0,108,108
156:1,0,86,86
156:2,0,1,1
156:3,0,1,1
157:0,0,107,107
157:1,0,80,80
157:2,0,3,3
157:3,0,2,2
157:4,0,2,2
157:5,0,1,1
157:6,0,1,1
158:0,0,99,99
158:1,0,97,97
159:0,0,101,101
159:1,0,95,95
160:0,0,96,96
160:1,0,87,87
160:2,0,4,4
160:3,0,4,4
160:4,0,3,3
160:5,0,2,2
161:0,0,111,111
161:1,0,85,85
162:0,195,0,195
163:0,0,112,112
163:1,0,83,83
164:0,0,103,103
164:1,0,79,79
164:2,0,10,10
164:3,0,3,3
165:0,0,98,98
165:1,0,85,85
165:2,0,5,5
165:3,0,5,5
165:4,0,1,1
165:5,0,1,1
166:0,0,99,99
166:1,0,72,72
166:2,0,12,12
166:3,0,8,8
166:4,0,3,3
166:5,0,1,1
167:0,0,100,100
167:1,0,92,92
167:2,0,2,2
167:3,0,1,1
168:0,0,87,87
168:1,0,71,71
168:2,0,21,21
168:3,0,15,15
168:4,0,1,1
169:0,99,0,99
169:1,81,0,81
169:2,11,0,11
169:3,3,0,3
170:0,0,122,122
170:1,0,72,72
171:0,0,102,102
171:1,0,92,92
172:0,0,97,97
172:1,0,95,95
172:2,0,2,2
173:0,88,0,88
173:1,83,0,83
173:2,14,0,14
173:3,8,0,8
174:0,100,0,100
174:1,92,0,92
174:2,1,0,1
175:0,0,101,101
175:1,0,90,90
175:2,0,2,2
176:0,0,95,95
176:1,0,71,71
176:2,0,15,15
176:3,0,10,10
176:4,0,1,1
176:5,0,1,1
177:0,0,97,97
177:1,0,95,95
177:2,0,1,1
178:0,0,115,115
178:1,0,78,78
179:0,0,62,62
179:1,0,61,61
179:2,0,24,24
179:3,0,23,23
179:4,0,9,9
179:5,0,9,9
179:6,0,1,1
179:7,0,1,1
179:8,0,1,1
179:9,0,1,1
179:10,0,1,1
180:0,0,109,109
180:1,0,83,83
180:2,0,1,1
181:0,0,104,104
181:1,0,89,89
182:0,96,0,96
182:1,94,0,94
182:2,2,0,2
183:0,104,0,104
183:1,88,0,88
184:0,0,96,96
184:1,0,93,93
184:2,0,2,2
184:3,0,1,1
185:0,0,96,96
185:1,0,96,96
186:0,0,101,101
186:1,0,88,88
186:2,0,3,3
187:0,0,108,108
187:1,0,79,79
187:2,0,4,4
187:3,0,1,1
188:0,0,67,67
188:1,0,61,61
188:2,0,29,29
188:3,0,21,21
188:4,0,11,11
188:5,0,3,3
189:0,0,104,104
189:1,0,83,83
189:2,0,3,3
189:3,0,1,1
189:4,0,1,1
190:0,0,100,100
190:1,0,89,89
190:2,0,2,2
190:3,0,1,1
191:0,101,0,101
191:1,88,0,88
191:2,1,0,1
191:3,1,0,1
192:0,0,109,109
192:1,0,80,80
192:2,0,2,2
193:0,0,104,104
193:1,0,87,87
194:0,0,96,96
194:1,0,95,95
195:0,0,105,105
195:1,0,85,85
195:2,0,1,1
196:0,0,97,97
196:1,0,93,93
196:2,0,1,1
197:0,0,103,103
197:1,0,88,88
198:0,0,99,99
198:1,0,92,92
199:0,0,106,106
199:1,0,78,78
199:2,0,3,3
199:3,0,2,2
199:4,0,2,2
200:0,98,0,98
200:1,92,0,92
200:2,1,0,1
201:0,0,108,108
201:1,0,80,80
201:2,0,1,1
201:3,0,1,1
202:0,0,116,116
202:1,0,74,74
203:0,0,95,95
203:1,0,89,89
203:2,0,4,4
203:3,0,2,2
204:0,0,102,102
204:1,0,88,88
205:0,93,0,93
205:1,93,0,93
205:2,1,0,1
205:3,1,0,1
205:4,1,0,1
206:0,102,0,102
206:1,87,0,87
207:0,0,97,97
207:1,0,87,87
207:2,0,4,4
207:3,0,1,1
208:0,0,108,108
208:1,0,81,81
209:0,0,88,88
209:1,0,85,85
209:2,0,5,5
209:3,0,3,3
209:4,0,1,1
209:5,0,1,1
209:6,0,1,1
209:7,0,1,1
209:8,0,1,1
209:9,0,1,1
209:10,0,1,1
209:11,0,1,1
210:0,0,96,96
210:1,0,83,83
210:2,0,7,7
210:3,0,3,3
211:0,0,105,105
211:1,0,83,83
211:2,0,1,1
212:0,0,106,106
212:1,0,82,82
212:2,0,1,1
213:0,0,103,103
213:1,0,86,86
214:0,0,95,95
214:1,0,88,88
214:2,0,4,4
214:3,0,2,2
215:0,0,83,83
215:1,0,80,80
215:2,0,15,15
215:3,0,9,9
215:4,0,2,2
216:0,98,0,98
216:1,90,0,90
217:0,0,92,92
217:1,0,90,90
217:2,0,3,3
217:3,0,1,1
217:4,0,1,1
217:5,0,1,1
218:0,0,107,107
218:1,0,81,81
219:0,0,107,107
219:1,0,61,61
220:0,0,3,3
221:2,0,1,1
